title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_1(121),2.135,2.006,7.227,6.462,7.315,6.274,0
no_act/input_noactivity_1(122),2.216,1.972,7.267,6.528,7.246,6.44,0
no_act/input_noactivity_1(123),2.137,1.979,6.874,5.967,6.883,5.981,0
no_act/input_noactivity_1(124),2.191,1.975,6.779,5.783,6.686,5.839,0
no_act/input_noactivity_1(125),2.046,1.956,6.913,5.772,6.645,5.914,0
no_act/input_noactivity_1(126),2.008,1.918,6.862,6.111,6.714,6.132,0
no_act/input_noactivity_1(127),2.262,2.059,6.401,6.094,6.556,6.051,0
no_act/input_noactivity_1(128),2.363,1.995,6.457,5.92,6.439,6.039,0
no_act/input_noactivity_1(129),2.248,2.1,6.872,6.294,6.765,6.388,0
no_act/input_noactivity_1(130),2.19,2.103,6.817,6.665,6.804,6.752,0
no_act/input_noactivity_1(131),2.143,2.015,6.736,6.478,6.701,6.455,0
no_act/input_noactivity_1(132),2.106,1.985,7.134,6.007,6.942,5.973,0
no_act/input_noactivity_1(133),1.965,1.935,6.929,6.327,6.741,6.391,0
no_act/input_noactivity_1(134),2.122,1.787,7.15,5.924,7.1,5.971,0
no_act/input_noactivity_1(135),2.034,1.82,6.699,5.944,6.797,6.049,0
no_act/input_noactivity_1(136),2.019,1.928,7.154,6.197,7.331,6.158,0
no_act/input_noactivity_1(137),2.0,1.938,6.939,6.358,6.982,6.448,0
no_act/input_noactivity_1(138),2.168,1.793,6.782,6.122,7.045,6.171,0
no_act/input_noactivity_1(139),2.257,1.952,6.941,6.683,6.957,6.855,0
no_act/input_noactivity_1(140),2.145,2.057,7.182,6.234,7.17,6.338,0
no_act/input_noactivity_1(141),2.069,2.02,6.585,6.366,6.681,6.426,0
no_act/input_noactivity_1(142),2.078,1.825,6.594,6.164,6.751,6.168,0
no_act/input_noactivity_1(143),2.278,1.947,7.119,6.36,7.066,6.277,0
no_act/input_noactivity_1(144),2.051,1.964,7.147,6.133,6.948,6.244,0
no_act/input_noactivity_1(145),2.146,1.85,6.71,5.852,6.69,5.945,0
no_act/input_noactivity_1(146),2.191,1.898,6.832,5.903,6.851,5.88,0
no_act/input_noactivity_1(147),2.055,1.781,6.827,6.077,6.906,5.998,0
no_act/input_noactivity_1(148),2.206,1.907,6.315,6.268,6.494,6.195,0
no_act/input_noactivity_1(149),2.424,1.791,6.731,6.357,6.643,6.413,0
no_act/input_noactivity_1(150),2.266,1.882,6.555,6.372,6.515,6.426,0
no_act/input_noactivity_1(151),2.258,2.05,7.009,6.089,6.997,6.238,0
no_act/input_noactivity_1(152),2.152,1.99,7.343,5.87,7.28,5.975,0
no_act/input_noactivity_1(153),1.897,1.844,7.031,6.085,6.908,6.184,0
no_act/input_noactivity_1(154),2.128,1.953,7.281,6.018,7.315,5.941,0
no_act/input_noactivity_1(155),1.917,1.846,6.905,6.079,7.04,6.186,0
no_act/input_noactivity_1(156),2.092,1.852,7.418,5.563,7.459,5.69,0
no_act/input_noactivity_1(157),1.993,1.897,6.899,6.329,6.622,6.337,0
no_act/input_noactivity_1(158),1.998,1.841,6.698,6.087,6.613,6.094,0
