title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(59),-0.934,-0.827,-0.848,-0.812,-0.814,0
no_act/19A_noactivity_3(60),-0.829,-0.95,-0.811,-0.83,-0.806,0
no_act/19A_noactivity_3(61),-0.916,-0.839,-0.842,-0.791,-0.814,0
no_act/19A_noactivity_3(62),-0.827,-0.953,-0.789,-0.828,-0.781,0
no_act/19A_noactivity_3(63),-0.895,-0.872,-0.819,-0.804,-0.777,0
no_act/19A_noactivity_3(64),-0.956,-0.832,-0.784,-0.881,-0.789,0
no_act/19A_noactivity_3(65),-0.986,-0.915,-0.89,-0.865,-0.883,0
no_act/19A_noactivity_3(66),-0.971,-0.821,-0.79,-0.836,-0.82,0
no_act/19A_noactivity_3(67),-0.96,-0.828,-0.808,-0.819,-0.825,0
no_act/19A_noactivity_3(68),-0.941,-0.84,-0.793,-0.805,-0.819,0
no_act/19A_noactivity_3(69),-0.892,-0.875,-0.791,-0.831,-0.786,0
no_act/19A_noactivity_3(70),-0.831,-0.963,-0.778,-0.881,-0.82,0
no_act/19A_noactivity_3(71),-0.932,-0.839,-0.782,-0.864,-0.782,0
no_act/19A_noactivity_3(72),-0.979,-0.823,-0.851,-0.8,-0.772,0
no_act/19A_noactivity_3(73),-0.933,-0.821,-0.873,-0.791,-0.803,0
no_act/19A_noactivity_3(74),-0.97,-0.818,-0.866,-0.798,-0.799,0
no_act/19A_noactivity_3(75),-0.959,-0.832,-0.756,-0.825,-0.799,0
no_act/19A_noactivity_3(76),-0.986,-0.927,-0.882,-0.861,-0.883,0
no_act/19A_noactivity_3(77),-0.974,-0.82,-0.817,-0.775,-0.836,0
no_act/19A_noactivity_3(78),-0.971,-0.816,-0.83,-0.758,-0.853,0
no_act/19A_noactivity_3(79),-0.952,-0.829,-0.904,-0.79,-0.77,0
no_act/19A_noactivity_3(80),-0.866,-0.875,-0.817,-0.855,-0.816,0
no_act/19A_noactivity_3(81),-0.964,-0.823,-0.809,-0.812,-0.819,0
no_act/19A_noactivity_3(82),-0.981,-0.827,-0.877,-0.817,-0.807,0
no_act/19A_noactivity_3(83),-0.967,-0.82,-0.832,-0.789,-0.854,0
no_act/19A_noactivity_3(84),-0.892,-0.859,-0.785,-0.783,-0.809,0
no_act/19A_noactivity_3(85),-0.9,-0.852,-0.774,-0.824,-0.774,0
no_act/19A_noactivity_3(86),-0.957,-0.823,-0.839,-0.824,-0.816,0
no_act/19A_noactivity_3(87),-0.986,-0.933,-0.887,-0.866,-0.884,0
no_act/19A_noactivity_3(88),-0.98,-0.822,-0.845,-0.827,-0.805,0
no_act/19A_noactivity_3(89),-0.965,-0.826,-0.821,-0.793,-0.833,0
no_act/19A_noactivity_3(90),-0.901,-0.862,-0.798,-0.888,-0.807,0
no_act/19A_noactivity_3(91),-0.965,-0.827,-0.86,-0.844,-0.785,0
no_act/19A_noactivity_3(92),-0.82,-0.967,-0.816,-0.806,-0.795,0
no_act/19A_noactivity_3(93),-0.849,-0.905,-0.807,-0.79,-0.834,0
no_act/19A_noactivity_3(94),-0.857,-0.891,-0.785,-0.864,-0.813,0
no_act/19A_noactivity_3(95),-0.829,-0.952,-0.828,-0.783,-0.817,0
no_act/19A_noactivity_3(96),-0.956,-0.841,-0.903,-0.824,-0.803,0
no_act/19A_noactivity_3(97),-0.97,-0.826,-0.927,-0.809,-0.816,0
no_act/19A_noactivity_3(98),-0.986,-0.921,-0.898,-0.881,-0.858,0
no_act/19A_noactivity_3(99),-0.982,-0.819,-0.796,-0.829,-0.841,0
no_act/19A_noactivity_3(100),-0.978,-0.822,-0.834,-0.826,-0.783,0
no_act/19A_noactivity_3(101),-0.959,-0.823,-0.856,-0.803,-0.78,0
no_act/19A_noactivity_3(102),-0.952,-0.82,-0.847,-0.772,-0.776,0
no_act/19A_noactivity_3(103),-0.942,-0.821,-0.859,-0.803,-0.815,0
no_act/19A_noactivity_3(104),-0.95,-0.82,-0.898,-0.798,-0.804,0
no_act/19A_noactivity_3(105),-0.946,-0.828,-0.811,-0.806,-0.838,0
no_act/19A_noactivity_3(106),-0.829,-0.955,-0.793,-0.792,-0.781,0
no_act/19A_noactivity_3(107),-0.837,-0.93,-0.781,-0.828,-0.826,0
no_act/19A_noactivity_3(108),-0.849,-0.917,-0.789,-0.837,-0.785,0
no_act/19A_noactivity_3(109),-0.986,-0.912,-0.901,-0.883,-0.866,0
no_act/19A_noactivity_3(110),-0.977,-0.819,-0.788,-0.871,-0.837,0
no_act/19A_noactivity_3(111),-0.975,-0.828,-0.808,-0.834,-0.795,0
no_act/19A_noactivity_3(112),-0.968,-0.827,-0.811,-0.857,-0.799,0
no_act/19A_noactivity_3(113),-0.965,-0.831,-0.784,-0.848,-0.795,0
no_act/19A_noactivity_3(114),-0.827,-0.96,-0.794,-0.787,-0.843,0
no_act/19A_noactivity_3(115),-0.831,-0.926,-0.817,-0.863,-0.795,0
no_act/19A_noactivity_3(116),-0.879,-0.87,-0.874,-0.815,-0.815,0
no_act/19A_noactivity_3(117),-0.817,-0.949,-0.816,-0.799,-0.802,0
no_act/19A_noactivity_3(118),-0.864,-0.871,-0.816,-0.816,-0.812,0
no_act/19A_noactivity_3(119),-0.967,-0.826,-0.88,-0.779,-0.838,0
no_act/19A_noactivity_3(120),-0.986,-0.9,-0.902,-0.886,-0.873,0
no_act/19A_noactivity_3(121),-0.977,-0.824,-0.813,-0.86,-0.8,0
no_act/19A_noactivity_3(122),-0.966,-0.836,-0.86,-0.819,-0.784,0
no_act/19A_noactivity_3(123),-0.964,-0.836,-0.764,-0.87,-0.803,0
no_act/19A_noactivity_3(124),-0.842,-0.919,-0.834,-0.781,-0.781,0
no_act/19A_noactivity_3(125),-0.86,-0.889,-0.81,-0.813,-0.782,0
no_act/19A_noactivity_3(126),-0.865,-0.884,-0.828,-0.82,-0.809,0
no_act/19A_noactivity_3(127),-0.967,-0.826,-0.821,-0.771,-0.788,0
no_act/19A_noactivity_3(128),-0.974,-0.82,-0.783,-0.831,-0.847,0
no_act/19A_noactivity_3(129),-0.975,-0.823,-0.851,-0.778,-0.817,0
