title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(122),-0.919,-0.794,-0.818,-0.772,-0.802,0
no_act/19A_noactivity_3(123),-0.906,-0.776,-0.802,-0.809,-0.816,0
no_act/19A_noactivity_3(124),-0.949,-0.783,-0.762,-0.802,-0.766,0
no_act/19A_noactivity_3(125),-0.916,-0.798,-0.8,-0.796,-0.794,0
no_act/19A_noactivity_3(126),-0.833,-0.814,-0.799,-0.787,-0.792,0
no_act/19A_noactivity_3(127),-0.87,-0.815,-0.781,-0.797,-0.776,0
no_act/19A_noactivity_3(128),-0.886,-0.813,-0.82,-0.811,-0.803,0
no_act/19A_noactivity_3(129),-0.935,-0.812,-0.81,-0.791,-0.777,0
no_act/19A_noactivity_3(130),-0.945,-0.79,-0.781,-0.793,-0.804,0
no_act/19A_noactivity_3(131),-0.988,-0.892,-0.855,-0.851,-0.815,0
no_act/19A_noactivity_3(132),-0.944,-0.851,-0.792,-0.805,-0.767,0
no_act/19A_noactivity_3(133),-0.93,-0.783,-0.796,-0.801,-0.774,0
no_act/19A_noactivity_3(134),-0.861,-0.794,-0.827,-0.79,-0.782,0
no_act/19A_noactivity_3(135),-0.895,-0.768,-0.788,-0.817,-0.793,0
no_act/19A_noactivity_3(136),-0.835,-0.835,-0.759,-0.781,-0.786,0
no_act/19A_noactivity_3(137),-0.789,-0.816,-0.859,-0.86,-0.797,0
no_act/19A_noactivity_3(138),-0.848,-0.787,-0.789,-0.804,-0.805,0
no_act/19A_noactivity_3(139),-0.845,-0.743,-0.823,-0.785,-0.8,0
no_act/19A_noactivity_3(140),-0.875,-0.819,-0.787,-0.773,-0.779,0
no_act/19A_noactivity_3(141),-0.903,-0.787,-0.821,-0.78,-0.799,0
no_act/19A_noactivity_3(142),-0.988,-0.844,-0.902,-0.84,-0.86,0
no_act/19A_noactivity_3(143),-0.94,-0.778,-0.801,-0.829,-0.821,0
no_act/19A_noactivity_3(144),-0.929,-0.804,-0.812,-0.815,-0.776,0
no_act/19A_noactivity_3(145),-0.898,-0.771,-0.816,-0.805,-0.805,0
