title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(120),-0.998,-0.825,-0.874,-0.842,-0.826,0
no_act/19A_noactivity_3(121),-0.854,-0.925,-0.798,-0.801,-0.765,0
no_act/19A_noactivity_3(122),-0.962,-0.854,-0.761,-0.76,-0.827,0
no_act/19A_noactivity_3(123),-0.949,-0.824,-0.785,-0.799,-0.797,0
no_act/19A_noactivity_3(124),-0.942,-0.814,-0.791,-0.814,-0.801,0
no_act/19A_noactivity_3(125),-0.942,-0.807,-0.769,-0.811,-0.79,0
no_act/19A_noactivity_3(126),-0.923,-0.821,-0.777,-0.785,-0.785,0
no_act/19A_noactivity_3(127),-0.874,-0.841,-0.787,-0.761,-0.783,0
no_act/19A_noactivity_3(128),-0.879,-0.836,-0.772,-0.782,-0.796,0
no_act/19A_noactivity_3(129),-0.863,-0.873,-0.775,-0.821,-0.798,0
no_act/19A_noactivity_3(130),-0.833,-0.921,-0.799,-0.78,-0.839,0
no_act/19A_noactivity_3(131),-0.999,-0.826,-0.885,-0.819,-0.839,0
no_act/19A_noactivity_3(132),-0.937,-0.831,-0.802,-0.796,-0.792,0
no_act/19A_noactivity_3(133),-0.934,-0.828,-0.83,-0.786,-0.821,0
no_act/19A_noactivity_3(134),-0.845,-0.911,-0.786,-0.815,-0.807,0
no_act/19A_noactivity_3(135),-0.86,-0.859,-0.798,-0.807,-0.805,0
no_act/19A_noactivity_3(136),-0.869,-0.831,-0.832,-0.785,-0.762,0
no_act/19A_noactivity_3(137),-0.826,-0.904,-0.805,-0.818,-0.794,0
no_act/19A_noactivity_3(138),-0.845,-0.928,-0.79,-0.809,-0.819,0
no_act/19A_noactivity_3(139),-0.941,-0.833,-0.79,-0.763,-0.803,0
no_act/19A_noactivity_3(140),-0.852,-0.895,-0.772,-0.817,-0.774,0
no_act/19A_noactivity_3(141),-0.82,-0.923,-0.841,-0.819,-0.789,0
no_act/19A_noactivity_3(142),-0.999,-0.811,-0.865,-0.826,-0.838,0
no_act/19A_noactivity_3(143),-0.939,-0.828,-0.817,-0.809,-0.805,0
no_act/19A_noactivity_3(144),-0.951,-0.833,-0.816,-0.758,-0.73,0
no_act/19A_noactivity_3(145),-0.821,-0.934,-0.808,-0.797,-0.788,0
