title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
c1_1(16),-0.98,-0.8290000000000001,-0.909,-0.787,-0.76,12.651,10.18,11.817,9.963,2.915,2.71,1
a6_1(118),-0.985,-0.8320000000000001,-0.904,-0.815,-0.875,12.755999999999998,10.144,11.883,9.831,3.015,2.516,1
e3_1(93),-0.979,-0.831,-0.782,-0.836,-0.931,12.338,10.635,10.298,9.774,5.523,4.74,1
a3c1_2(91),-0.998,-0.983,-0.918,-0.835,-0.901,8.637,7.484,10.514,10.071,10.557,9.14,1
a5e1_1(141),-0.997,-0.981,-0.906,-0.856,-0.8809999999999999,7.84,6.985,11.307,10.105,10.064,9.188,1
a3d6_1(87),-0.997,-0.983,-0.8590000000000001,-0.8640000000000001,-0.909,8.763,7.593,11.254,9.774,10.299,9.367,1
d1e2_1(66),-0.991,-0.915,-0.889,-0.863,-0.8320000000000001,8.309,7.627000000000002,11.219,10.099,10.535,9.478,1
a1e5_2(133),-0.998,-0.981,-0.964,-0.945,-0.8320000000000001,7.4460000000000015,6.007999999999999,5.374,4.9110000000000005,8.329,6.053,1
d6_1(39),-0.978,-0.8270000000000001,-0.959,-0.785,-0.8240000000000001,12.164,10.469,11.47,9.922,3.149,3.077,1
a5_1(7),-0.986,-0.826,-0.961,-0.7909999999999999,-0.8170000000000001,11.503,11.224,11.023,10.48,3.238,2.6860000000000004,1
c6e4_1(66),-0.999,-0.981,-0.938,-0.898,-0.826,7.943,6.987,10.988,9.614,11.07,8.363999999999999,1
b3_1(58),-0.987,-0.84,-0.939,-0.862,-0.802,11.486,11.036,10.983,10.366,3.492,2.759,1
b3_1(11),-0.986,-0.838,-0.954,-0.907,-0.8029999999999999,11.927,10.161,11.095999999999998,9.867,3.885,2.858,1
a4d1_1(122),-0.998,-0.981,-0.889,-0.846,-0.91,8.004,7.114,11.153,10.143,10.472,9.101,1
